,sigla_uf,populacao_atendida_agua,indice_consumo_agua_per_capita
7036,SP,2851,295.7
7037,SP,96634,184.9
7038,TO,22562,136.5
7039,TO,9893,133.3
7745,BA,28869,253.8
7746,BA,19104,135.0
7747,ES,30674,151.2
7748,ES,437524,217.7
7749,MG,9570,141.1
7750,MG,15538,209.5
7751,MG,8590,134.3
7752,MG,2589,136.0
7753,MG,5191,145.6
7754,MG,3873,183.9
7755,MG,38914,164.0
7756,MG,15963,120.0
7757,MG,4630,114.0
7758,MG,51155,163.5
7759,MG,6357,164.9
7760,MG,30403,169.6
7761,MG,2214,177.7
7762,MG,7247,413.9
7763,MG,1885,258.5
7764,MG,1945,161.2
7765,MS,46487,163.8
7766,MT,6782,118.1
7767,PA,161993,133.0
7768,PB,57484,116.7
7769,PE,77586,117.8
7770,PR,130120,137.7
7771,PR,14483,121.3
7772,PR,11347,91.7
7773,RN,6253,226.1
7774,RN,2870,78.2
7775,RS,5553,165.9
7776,RS,22911,148.8
7777,SC,25227,125.9
7778,SC,74352,236.1
7779,SE,5395,62.0
7780,SP,2142,145.2
7781,SP,34346,223.2
7782,SP,173771,123.8
7783,SP,37246,166.1
7784,SP,4827,146.4
7785,SP,238739,168.2
7786,SP,98049,135.1
7787,SP,9408,146.3
7788,SP,2806,165.5
7789,SP,2017,172.7
7790,SP,6896,177.9
7791,SP,307836,165.3
7792,SP,43909,148.3
7793,SP,276255,152.6
7794,TO,5891,132.7
8526,BA,10354,114.3
8527,BA,38948,94.8
8528,BA,5386,116.9
8529,BA,96762,116.8
8530,BA,292,121.9
8531,BA,12110,134.5
8532,BA,8156,125.1
8533,CE,6543,174.2
8534,CE,3656,124.5
8535,ES,15268,157.0
8536,MG,1489,209.7
8537,MG,9541,115.8
8538,MG,2624,132.1
8539,MG,4500,152.2
8540,MG,1535,167.1
8541,MG,34162,149.2
8542,MG,15656,172.1
8543,MG,88787,155.6
8544,MG,1873,278.3
8545,MG,169723,144.2
8546,MG,5270,145.6
8547,MG,5570,126.5
8548,MG,97782,139.5
8549,MG,6257,307.0
8550,MG,1924,173.1
8551,PI,4135,112.3
8552,PR,25774,108.2
8553,PR,29281,199.1
8554,PR,12452,141.5
8555,PR,6690,219.3
8556,PR,11173,115.7
8557,PR,8741,105.9
8558,PR,19186,109.9
8559,RJ,38131,262.0
8560,RJ,271379,100.9
8561,RJ,13854,169.8
8562,RO,85454,101.2
8563,RO,32585,180.9
8564,RS,2101,135.0
8565,SC,527145,174.2
8566,SC,27600,150.1
8567,SC,10195,117.2
8568,SP,3313,204.1
8569,SP,234923,229.1
8570,SP,386984,134.3
8571,SP,5247,166.5
8572,SP,6211,160.6
8573,SP,8805,293.1
8574,SP,17068,194.3
8575,SP,10626,139.3
8576,SP,3564,129.5
8577,SP,7134,227.9
8578,SP,27962,182.1
8579,SP,2647,172.1
8580,SP,1885,189.8
9314,AL,9802,67.1
9315,ES,4350,166.6
9316,GO,5506,153.4
9317,MA,7075,136.3
9318,MG,4946,175.8
9319,MG,5306,152.3
9320,MG,6753,152.4
9321,MG,6648,180.7
9322,MG,4136,103.2
9323,MG,4125,245.8
9324,MG,72859,206.2
9325,MT,37690,163.0
9326,PE,30294,107.7
9327,PE,50986,80.1
9328,PR,3460,97.0
9329,RJ,8590,148.4
9330,RJ,32783,220.3
9331,RN,6213,93.5
9332,RS,34642,133.3
9333,RS,2493,267.7
9334,RS,23909,153.5
9335,RS,16459,126.7
9336,SC,3292,115.1
9337,SC,359816,162.1
9338,SC,40045,112.9
9339,SC,12050,165.5
9340,SP,1442,162.4
9341,SP,15564,235.9
9342,SP,2060,188.9
9343,SP,39279,244.6
9344,SP,3964,153.4
9345,SP,22743,491.7
9346,SP,3557,298.4
9347,SP,10675,242.3
9348,SP,3292,190.5
9349,SP,8402,180.8
9350,SP,59913,173.6
9351,SP,7370,157.9
9352,SP,1255,172.8
9353,SP,1654,191.8
9354,SP,10880,183.2
9355,SP,3337,167.0
9356,SP,23324,204.5
9357,SP,7242,165.3
9358,SP,12781,172.8
9359,SP,118145,164.8
10088,AL,1588,100.0
10089,BA,10362,97.4
10090,BA,4092,111.5
10091,BA,4529,137.7
10092,BA,36855,114.3
10093,BA,46970,106.4
10094,BA,24706,108.1
10095,BA,18196,123.6
10096,BA,134624,88.1
10097,CE,20927,138.2
10098,CE,34876,268.4
10099,CE,23373,148.0
10100,CE,41017,108.6
10101,GO,8139,151.4
10102,GO,47033,107.5
10103,MA,42062,119.3
10104,MG,7943,140.8
10105,MG,2562,164.8
10106,MG,5716,188.6
10107,MG,1524,250.1
10108,MG,3302,144.0
10109,MG,208890,136.1
10110,MG,5737,112.7
10111,MG,1980,111.8
10112,MG,4520,145.4
10113,MG,4292,132.6
10114,MG,8447,145.5
10115,MG,28115,254.9
10116,MG,1465,145.8
10117,MG,925,163.1
10118,MG,4728,105.0
10119,MS,897938,163.2
10120,MT,14131,167.7
10121,PB,63117,107.2
10122,PB,3174,90.9
10123,PR,25489,104.1
10124,PR,2652,266.2
10125,PR,6830,114.0
10126,PR,6169,99.5
10127,PR,22037,98.5
10128,PR,8986,109.8
10129,RJ,4497,202.3
10130,RN,10084,96.2
10131,RN,3175,96.8
10132,RS,187315,109.3
10133,RS,76137,142.3
10134,RS,22158,144.6
10135,SC,1815,135.9
10136,SP,31884,127.3
10137,SP,5182,221.3
10138,SP,1819,141.4
10139,SP,7250,168.2
10140,SP,6677,182.2
10141,SP,24170,163.5
10142,SP,253634,204.0
10143,SP,1280655,126.9
10144,SP,24969,172.2
10145,SP,1610,249.7
10146,SP,1859,171.2
10147,SP,20342,44.7
10148,SP,2781,186.2
10859,AL,10623,72.3
10860,AL,5320,109.1
10861,BA,2030,115.6
10862,BA,33923,66.5
10863,BA,2387802,126.2
10864,CE,27411,118.8
10865,CE,138402,168.8
10866,CE,30699,94.5
10867,ES,14676,138.9
10868,GO,17187,232.5
10869,GO,16450,139.3
10870,MG,33672,134.6
10871,MG,3946,160.0
10872,MG,18026,154.5
10873,MG,18469,153.8
10874,MG,2072,242.7
10875,MG,10893,148.1
10876,MG,3130,170.7
10877,MG,4000,175.1
10878,MG,94251,219.9
10879,MG,93353,194.3
10880,MG,3056,118.3
10881,MG,2431,144.8
10882,MG,6341,126.9
10883,MG,3576,153.7
10884,MG,225086,132.9
10885,MG,1047,291.6
10886,MS,3932,206.0
10887,MS,4602,144.0
10888,MS,7406,164.1
10889,MT,2519,318.2
10890,PB,1962,145.1
10891,PE,8184,78.5
10892,PE,14020,108.2
10893,PI,8762,111.6
10894,PR,7698,96.1
10895,PR,18127,97.2
10896,PR,27023,107.6
10897,RJ,40865,235.3
10898,RN,2936,117.5
10899,RN,238174,142.5
10900,RN,5476,93.6
10901,RN,1673,89.1
10902,SC,28195,160.2
10903,SE,16240,79.2
10904,SE,35606,84.6
10905,SP,1023,199.8
10906,SP,4229,140.3
10907,SP,11325,167.5
10908,SP,1296,190.1
10909,SP,11038,195.9
10910,SP,3273,162.9
10911,SP,5565,160.1
10912,SP,67290,217.6
10913,SP,39248,166.9
10914,SP,1144,181.6
10915,SP,10689,183.6
10916,SP,14585,180.1
11674,BA,5561,134.6
11675,CE,59271,129.3
11676,CE,13114,128.4
11677,CE,5605,97.2
11678,GO,6714,158.5
11679,GO,50878,137.9
11680,GO,8297,184.1
11681,GO,177276,118.7
11682,MG,9515,105.1
11683,MG,6386,130.9
11684,MG,7195,120.1
11685,MG,1700,205.7
11686,MG,5159,126.7
11687,MG,20445,136.2
11688,MG,2782,172.7
11689,MG,2072,206.0
11690,MG,4149,183.9
11691,MG,3854,173.8
11692,MG,5724,113.5
11693,MS,4458,177.2
11694,PB,3220,51.6
11695,PB,2045,78.1
11696,PE,12263,87.4
11697,PI,5551,115.4
11698,PI,2477,104.0
11699,PI,68431,124.1
11700,PR,45201,147.2
11701,PR,5141,140.3
11702,PR,6180,158.0
11703,RJ,46110,130.7
11704,RJ,11400,185.9
11705,RJ,12675,171.6
11706,RS,2019,130.1
11707,RS,20844,111.0
11708,RS,1709,208.4
11709,SC,17046,93.8
11710,SC,1656,124.8
11711,SC,50947,152.0
11712,SP,6722,161.8
11713,SP,26155,333.1
11714,SP,4280,156.4
11715,SP,48111,148.9
11716,SP,375230,132.8
11717,SP,4026,164.0
11718,SP,7281,209.3
11719,SP,15524,127.8
11720,SP,15783,216.2
11721,SP,4277,195.8
11722,TO,2612,131.7
12514,BA,9372,96.5
12515,BA,3423,120.2
12516,BA,14104,96.6
12517,BA,5473,69.1
12518,BA,2341,103.3
12519,ES,15406,144.6
12520,GO,5525,117.4
12521,MA,228975,153.5
12522,MG,4735,118.2
12523,MG,6161,176.2
12524,MG,69789,145.5
12525,MG,2725,141.9
12526,MG,21938,202.5
12527,MG,6265,141.8
12528,MG,4967,116.5
12529,MG,163742,170.6
12530,MG,13783,150.6
12531,MG,3559,123.5
12532,MG,11351,198.6
12533,MG,2821,146.3
12534,MG,5195,161.3
12535,MG,1889,154.9
12536,MG,5968,180.3
12537,MS,5004,173.7
12538,PE,62372,142.9
12539,PR,96656,129.7
12540,PR,5190,99.1
12541,RJ,19505,144.2
12542,RJ,75905,171.3
12543,RN,29562,99.1
12544,RN,13241,92.1
12545,RN,8697,97.2
12546,RS,6091,132.4
12547,RS,380,182.2
12548,SC,10381,105.6
12549,SC,52674,223.0
12550,SP,3712,174.5
12551,SP,4623,152.7
12552,SP,10000,95.9
12553,SP,51541,180.7
12554,SP,14723,164.7
12555,SP,149304,111.8
12556,SP,14454,375.2
12557,SP,47574,182.5
12558,SP,9766,178.7
12559,SP,9419,138.6
12560,SP,40038,177.2
12561,SP,43414,181.7
12562,SP,22083,160.5
12563,SP,11238,130.7
12564,TO,5799,118.4
13329,BA,40000,274.0
13330,BA,41941,108.8
13331,BA,34995,94.3
13332,BA,2528,154.2
13333,BA,17858,95.5
13334,BA,7393,116.1
13335,CE,15388,127.8
13336,GO,112542,122.6
13337,GO,34964,98.8
13338,GO,2233,199.8
13339,MA,33245,41.2
13340,MG,5606,130.9
13341,MG,1959,163.9
13342,MG,8425,165.9
13343,MG,18177,155.1
13344,MG,3898,149.9
13345,MG,2504,134.6
13346,MG,12747,140.8
13347,MG,1829,200.4
13348,MG,11487,155.5
13349,MG,63392,209.3
13350,MG,3033,185.7
13351,MG,55259,161.6
13352,MG,1809,153.5
13353,MS,10114,145.4
13354,MT,23574,118.5
13355,PA,52292,196.5
13356,PB,1372,101.8
13357,PE,3528,78.9
13358,PE,19699,71.2
13359,PE,77904,62.4
13360,PE,5554,17.5
13361,PI,5900,82.0
13362,PI,27768,90.6
13363,PR,9726,121.8
13364,PR,47820,107.2
13365,PR,15744,142.6
13366,PR,71662,141.3
13367,PR,24259,128.1
13368,RJ,124692,226.7
13369,RN,8820,92.7
13370,RS,64970,135.0
13371,RS,11390,156.2
13372,RS,45452,138.2
13373,SC,17312,128.0
13374,SC,32150,124.2
13375,SP,6427,418.0
13376,SP,2625,178.0
13377,SP,3063,181.3
13378,SP,4314,160.4
13379,SP,4212,190.3
13380,SP,110537,193.1
13381,SP,2374,163.4
13382,SP,11740,172.1
13383,SP,3199,158.3
13384,SP,1508,176.5
14150,AL,15446,65.7
14151,AL,8340,129.9
14152,AP,240857,134.7
14153,BA,70185,153.3
14154,CE,9201,138.6
14155,ES,2777,145.9
14156,GO,39294,144.5
14157,GO,135000,126.5
14158,MG,14499,142.6
14159,MG,34705,179.8
14160,MG,68659,138.4
14161,MG,1893,147.9
14162,MG,3654,139.1
14163,MG,152572,121.4
14164,MG,2059,161.5
14165,MG,2952,143.4
14166,MG,5312,208.3
14167,MG,1538,154.1
14168,MG,4412,218.9
14169,MS,9581,160.1
14170,MT,84071,114.3
14171,PE,17239,113.3
14172,PE,196240,117.3
14173,PE,3068,116.8
14174,PE,109742,132.3
14175,PR,119813,100.0
14176,PR,151650,125.5
14177,PR,348016,129.1
14178,PR,91826,150.9
14179,PR,14139,139.4
14180,PR,329595,121.3
14181,RJ,125418,165.4
14182,RN,7692,81.9
14183,RN,3651,80.0
14184,RS,1332570,233.6
14185,SC,27688,190.0
14186,SC,5150,188.8
14187,SP,82178,162.7
14188,SP,29449,191.5
14189,SP,2932,255.5
14190,SP,21664,191.5
14191,SP,220435,154.6
14192,SP,18133,215.8
14193,SP,5561,156.6
14194,SP,8938,219.8
14195,SP,30484,164.1
14196,SP,18496,124.5
14197,SP,3561,218.7
14198,SP,5263,149.5
14199,SP,1321,182.0
14200,TO,14444,142.4
14899,AL,20253,82.7
14900,AL,59280,125.5
14901,BA,21050,104.7
14902,BA,27455,67.5
14903,BA,5289,116.7
14904,BA,26948,64.4
14905,BA,9004,119.2
14906,BA,3595,135.4
14907,CE,50689,163.3
14908,CE,32407,140.1
14909,CE,49163,141.1
14910,CE,7415,130.3
14911,GO,37193,152.0
14912,MG,1840,169.7
14913,MG,887,168.4
14914,MG,13307,158.6
14915,MG,3498,161.8
14916,MG,581064,152.1
14917,MG,1765,138.1
14918,MG,2251,264.4
14919,MG,12036,119.2
14920,MG,16472,169.3
14921,MG,2476,134.8
14922,MG,4789,147.8
14923,MG,44432,196.6
14924,MG,2775,130.5
14925,MG,5653,160.8
14926,PA,136612,157.5
14927,PB,2097,100.6
14928,PB,5653,79.5
14929,PB,13499,73.3
14930,PB,15213,103.3
14931,PR,15068,119.4
14932,PR,10080,137.2
14933,PR,5231,132.1
14934,PR,17566,141.6
14935,RJ,114366,114.9
14936,RJ,17628,149.7
14937,RJ,18493,85.5
14938,RN,8276,111.0
14939,RN,13840,95.9
14940,RS,70601,145.1
14941,RS,18353,116.0
14942,RS,659,152.6
14943,RS,23620,138.2
14944,SC,161790,157.6
14945,SE,6547,71.6
14946,SP,2780,473.9
14947,SP,237247,178.9
14948,SP,33019,243.1
14949,SP,25201,253.5
14950,SP,8719,427.9
14951,SP,11295,127.1
14952,SP,4963,165.9
14953,SP,1313,198.9
14954,SP,42295,141.4
14955,SP,32433,480.4
14956,SP,4943,175.4
14957,SP,1287,254.9
14958,SP,12524,127.0
14959,SP,3899,153.5
14960,SP,2046,215.5
14961,SP,7773,171.6
15663,BA,15000,90.8
15664,CE,230029,121.7
15665,CE,7619,84.0
15666,CE,195118,130.3
15667,GO,14808,131.4
15668,GO,86279,168.4
15669,GO,57770,167.6
15670,GO,6904,131.4
15671,GO,196416,94.4
15672,MG,12143,135.3
15673,MG,14206,164.1
15674,MG,2282,171.5
15675,MG,4464,161.9
15676,MG,2183,171.9
15677,MG,81820,166.7
15678,MG,16850,125.0
